reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9337808f-aa37-428a-98a7-e9ccc4f63b19,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ga ikhlas sumpah. bakal gw tagih di akhirat. bayar mahal2 aplikasinya error terus ga bisa nonton.,1,3,25.03.17.6,2025-04-03 11:21:41,,,25.03.17.6
02c74257-a1eb-4c67-8e71-5993e6044e2f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Banyak bugnya 😢,1,0,,2025-04-03 09:39:52,,,
1a1ff5de-5804-4e05-8e1a-3c2133a2258b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jelek banget aplikasinya,1,0,,2025-04-03 07:56:15,,,
2cc6ff51-6c16-45a1-b1db-989103545359,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Disney hotstar sangat terbaik😍🥰,5,0,25.03.10.1,2025-04-03 07:18:01,,,25.03.10.1
48491ffb-8926-4dfe-8db9-08698cd99393,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi ini sering bermasalah dari pas nonton sering lag sendiri, dan tiba tiba terjadi perpanjangan otomatis tanpa pemberitahuan dan tidak bisa pembatan langganan, udh aplikasi jekel langganan sendiri lagi, cihh ambil keuntungan",1,0,,2025-04-02 21:14:22,"Hai Nurul, kami mengerti atas ketidaknyamanannya. Mohon kirimkan rinciannya ke email disneyplus.id@hotstar.com disertai nomor telepon yang terdaftar di Disney+ Hotstar, merek, model & versi OS perangkat, versi aplikasi Disney+ Hotstar, nama konten, foto/video pendek kendala, dan nama provider internet kamu untuk bantuan lebih lanjut. Terima kasih.",2025-04-03 14:56:29,
e414f1e6-3dfd-4805-b716-a4948f2e59c1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kenapa aplikasinya punya bug parah gini sih? tiba"" langsung bikin HP mati. bahaya bener",1,0,25.03.17.6,2025-04-02 09:52:37,"Hai Adhi, kami mengerti atas ketidaknyamanannya. Mohon kirimkan rinciannya ke email disneyplus.id@hotstar.com disertai nomor telepon yang terdaftar di Disney+ Hotstar, merek, model, dan versi OS perangkat, versi aplikasi Disney+ Hotstar, foto/video pendek kendala, dan nama provider internet kamu untuk bantuan lebih lanjut. Terima kasih.",2025-04-03 14:53:20,25.03.17.6
baec900c-5a98-4ec0-bba8-29630541bdca,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Berlangganan yg 120k itu bener bener worth to buy,tapi kalau di tv kadang kadang load di awal,but its okay, ini cukup memuaskan",4,0,25.03.17.6,2025-04-02 09:51:39,,,25.03.17.6
7f1f0b3b-d53c-4b9e-8a18-a9ec87b69e6d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi rusak gak jelas, bayar mahal"" pas di tonton item semua, nyesel banget download,,,, baru 5 hari make udah error,,,, jangan download, syang duit dasar apk rusak",1,0,,2025-04-02 05:38:08,"Hai, Terkait dengan kendala saat log in, silakan kirimkan rinciannya melalui email ke disneyplus.id@hotstar.com disertai dengan nomor telepon, merek/tipe & versi OS perangkat, versi aplikasi, foto dari kendala, judul konten yang terkendala dan nama provider jaringan, agar dapat kami periksa. Terima kasih.",2025-04-03 13:34:15,
9ca0cb20-a869-4f75-9d03-63d8e3491c96,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mahal, bagusan dan lengkapan netflix dari segi film and series, sorry disney",1,0,,2025-04-02 03:51:08,,,
f0b9bfff-6b75-498d-8bb5-649c491d59dc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,karna banyak Film😍,5,0,25.03.17.6,2025-04-02 01:26:25,,,25.03.17.6
97d74f35-900b-4be3-bbdf-bc7e0ce9899f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,login susah dipakek susah cuman masalah langganan lebih gesit nih aplikasi,1,0,25.03.17.6,2025-04-01 23:08:00,"Hai, Terkait dengan kendala saat log in, silakan kirimkan rinciannya melalui email ke disneyplus.id@hotstar.com disertai dengan nomor telepon, merek/tipe & versi OS perangkat, versi aplikasi, foto dari kendala, dan nama provider jaringan, agar dapat kami periksa. Terima kasih.",2025-04-03 13:32:04,25.03.17.6
a6c4e500-8110-485c-9ba6-f1ee9b839ba8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,love it,5,0,25.03.17.6,2025-04-01 19:01:03,,,25.03.17.6
e00e0e08-82f1-4db0-a022-ebc5c7c49c58,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapa costum subtitle tidak ada? di hp saya terlalu di atas banget.. payah bagus Netflix,1,0,25.03.24.0,2025-04-01 13:01:50,,,25.03.24.0
0ec9113e-5f35-4c85-81c1-1a31be1cfc3c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Filmnya sedikit dan tidak update..,1,0,25.03.03.6,2025-04-01 07:22:12,,,25.03.03.6
c52f466e-535c-43ba-be96-ca41e912a68c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"knp srg keluar2,sih",1,0,25.03.17.6,2025-04-01 04:45:58,"Hai, mohon maaf atas ketidaknyamannya. Mohon kirimkan email kepada kami di disneyplus.id@hotstar.com dengan nomor telepon yang terdaftar di Disney+ Hotstar, detail perangkat (merek, model, versi OS), versi aplikasi, nama penyedia internet, dan foto error yang dialami sehingga kami dapat membantu kamu. Terima kasih.",2025-04-01 09:33:36,25.03.17.6
dca8267d-fcc2-45ee-a65d-ed9f16e7661e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi nya loading terus lama,1,0,12.2.0,2025-03-31 20:58:45,"Hai Dhiemash, mohon maaf atas ketidaknyamanannya. Kamu dapat mengirimkan nomor telepon berlangganan Disney+ Hotstar, model perangkat, versi OS, versi aplikasi Disney+ Hotstar, video pendek dari kendala, & nama provider ke email kami Disneyplus.id@hotstar.com. Terima kasih.",2025-04-01 09:40:09,12.2.0
9f24ed54-7765-4290-8bcc-96e1b9a4b692,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tiba tiba cek out sendiri gimana ini disney,2,0,25.03.10.1,2025-03-31 16:30:57,"Hai, Apabila yang kamu maksud adalah tiba-tiba ter-log out, silakan kirimkan rinciannya melalui email ke disneyplus.id@hotstar.com disertai dengan nomor telepon, merek/tipe & versi OS perangkat, versi aplikasi, foto dari kendala, dan nama provider jaringan, agar dapat kami periksa. Terima kasih.",2025-04-01 09:40:39,25.03.10.1
e0913d9c-6b0a-49f5-a41e-b35165fb62c8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,woy jangan aku sisi tokrev biarkan apk lain tayangkan,2,0,,2025-03-31 15:55:00,,,
6df983a4-0af9-4d5d-a689-9c63b24b1dd1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saldo gw balikin, udh tak batalin ttp aja berlangganan bulan depan",1,1,25.03.17.6,2025-03-31 11:36:59,,,25.03.17.6
0b50d33e-1160-41e9-a6f0-36a029facc48,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tidak maksimal,1,0,,2025-03-31 06:54:21,,,
d3537c20-03a3-41a2-91a6-ce80fe61ad75,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,layarnya hitam ketika streaming,3,0,,2025-03-31 05:02:45,"Hai Yudha, mohon maaf atas ketidaknyamanannya. Kamu dapat mengirimkan nomor telepon berlangganan Disney+ Hotstar, model perangkat, versi OS, versi aplikasi Disney+ Hotstar, video pendek dari kendala, nama konten yang terkendala & nama provider ke email kami Disneyplus.id@hotstar.com. Terima kasih.",2025-03-31 06:26:13,
